Comment,Designator,Footprint,LCSC,Quantity
0R,R212,R_0402_1005Metric,C106231,1
0R,"R304,R305,R306,R307,R308,R309,R314,R315,R316,R317,R318,R319",R_0603_1608Metric,C95177,12
100n,"C101,C103,C104,C106,C108,C110,C111,C116,C203,C204,C205,C206,C300,C301,C302,C303,C306,C307,C310,C311,C312,C313,C316,C317,C400,C401",C_0402_1005Metric,C1525,26
10k,"R100,R101,R113,R202,R204,R205,R206,R207,R208,R209,R302,R303,R312,R313",R_0402_1005Metric,C60490,14
10n,"C304,C305,C308,C309,C314,C315,C318,C319",C_0402_1005Metric,C15195,8
10n,L100,L_0603_1608Metric,C330851,1
10p,"C102,C105,C200,C201",C_0402_1005Metric,C32949,4
10u,"C100,C202,C402,C403",C_0603_1608Metric,C19702,4
120R,FB100,C_0603_1608Metric,C41330,1
12k1,R210,R_0402_1005Metric,C25852,1
1u,"C112,C113,C114,C115,C117",C_0603_1608Metric,C15849,5
22n,C207,C_0402_1005Metric,C337699,1
22u,"C118,C119,C120,C121,C122,C123",C_0805_2012Metric,C602037,6
25MHz,Y200,CRYSTAL-SMD_4P-L2.0-W1.6-BL,C5765970,1
2u2,"C107,C109",C_0402_1005Metric,C170151,2
300mA,F100,C_0603_1608Metric,C19193027,1
330R,"R104,R109,R110,R111,R112,R217,R218,R300,R301,R310,R311",R_0402_1005Metric,C105875,11
33R,"R200,R201,R203",R_0402_1005Metric,C138002,3
49R9,"R102,R103,R105,R211,R213,R214,R215,R401,R402",R_0402_1005Metric,C87044,9
500mA,F101,C_0603_1608Metric,C883095,1
5k1,"R107,R108",R_0402_1005Metric,C105873,2
60R,"R403,R404",R_0402_1005Metric,C137954,2
AP2112K-3.3,U101,SOT-23-5,C51118,1
Conn_01x03,"J101,J102",PinHeader_1x03_P2.54mm_Vertical,C2337,2
Conn_01x05_Pin,J100,PinHeader_1x05_P2.54mm_Vertical,C2337,1
ESD204,U201,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,C553132,1
ESDCAN24-2BLY,D400,SOT-23-3,C246766,1
Jumper_2_Bridged,"JP100,JP400",PinHeader_1x02_P2.54mm_Vertical,C2337,2
K2-1157SP-I4SW-04,SW100,SW-SMD_4P-L6.2-W6.2-P4.50-LS8.6,C2909692,1
LAN8742A,U200,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,C220794,1
LED,"D103,D106,D107,D108,D109,D300,D301,D302,D303",LED_0402_1005Metric,C965793,9
MAX31856,"U300,U301,U302,U303",TSSOP-14_4.4x5mm_P0.65mm,C2653162,4
MM3Z10VT1G,D105,D_SOD-323,C39057,1
PESD3V3,"D100,D101,D102,D104",D_SOD-323,C51450,4
RJ45_Hanrun_HR911105A_Horizontal,J200,RJ45_Hanrun_HR911105A_Horizontal,C12074,1
STM32H563RITx,U100,LQFP-64_10x10mm_P0.5mm,C20619634,1
Screw_Terminal_01x02,J103,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",C3029316,1
Si2371EDS,Q100,SOT-23,C467897,1
TJA1042T-3,U400,SOIC-8_3.9x4.9mm_P1.27mm,C22445414,1
USBLC6-2SC6,U102,SOT-23-6,C7519,1
USB_C_Receptacle_USB2.0_16P,J104,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
X322516MMB4SI,Y100,CRYSTAL-SMD_4P-L2.0-W1.6-BL,C112972,1
PCC-SMP-K-5,J108,PCCSMPK5,,1
PCC-SMP-K-5,J107,PCCSMPK5,,1
PCC-SMP-K-5,J106,PCCSMPK5,,1
PCC-SMP-K-5,J105,PCCSMPK5,,1
+3.3VA,TP103,TestPoint_Pad_D1.5mm,,1
TestPoint_Small,TP102,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP111,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP101,TestPoint_Pad_D1.0mm,,1
Jumper_2_Bridged,JP200,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,,1
TestPoint_Small,TP104,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP105,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP114,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP300,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP108,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP106,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP120,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP116,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP107,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP121,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP122,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP110,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP109,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP100,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP115,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP112,TestPoint_Pad_D1.0mm,,1
