Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C100,10u,C_0603_1608Metric,60.9615,-57.975,-90.0,top
C101,100n,C_0402_1005Metric,45.5615,-52.92,90.0,top
C102,10p,C_0402_1005Metric,38.3615,-57.98,-90.0,top
C103,100n,C_0402_1005Metric,45.0615,-56.6,90.0,top
C104,100n,C_0402_1005Metric,46.5615,-52.96,90.0,top
C105,10p,C_0402_1005Metric,38.3615,-60.0,90.0,top
C106,100n,C_0402_1005Metric,59.4615,-58.48,-90.0,top
C107,2u2,C_0402_1005Metric,56.768,-69.25,0.0,top
C108,100n,C_0402_1005Metric,56.748,-68.25,0.0,top
C109,2u2,C_0402_1005Metric,47.5615,-52.94,90.0,top
C110,100n,C_0402_1005Metric,47.9815,-69.5,180.0,top
C111,100n,C_0402_1005Metric,43.748,-64.62,90.0,top
C112,1u,C_0603_1608Metric,76.525,-84.3,180.0,top
C113,1u,C_0603_1608Metric,80.95058,-84.0,-90.0,top
C114,1u,C_0603_1608Metric,90.7615,-40.75,0.0,top
C115,1u,C_0603_1608Metric,79.20058,-84.0,-90.0,top
C116,100n,C_0402_1005Metric,82.12,-61.85,180.0,top
C117,1u,C_0603_1608Metric,90.7615,-39.0,0.0,top
C118,22u,C_0805_2012Metric,76.3,-77.8,0.0,top
C119,22u,C_0805_2012Metric,76.40058,-82.25,0.0,top
C120,22u,C_0805_2012Metric,76.40058,-80.03,0.0,top
C121,22u,C_0805_2012Metric,80.3,-74.359596,-90.0,top
C122,22u,C_0805_2012Metric,78.20058,-74.359596,-90.0,top
C123,22u,C_0805_2012Metric,76.05,-74.359596,-90.0,top
C200,10p,C_0402_1005Metric,37.7215,-84.219,-90.0,top
C201,10p,C_0402_1005Metric,33.4715,-84.219,-90.0,top
C202,10u,C_0603_1608Metric,29.2115,-84.775,-90.0,top
C203,100n,C_0402_1005Metric,30.5715,-75.269,90.0,top
C204,100n,C_0402_1005Metric,40.4615,-78.449,0.0,top
C205,100n,C_0402_1005Metric,38.7215,-84.219,-90.0,top
C206,100n,C_0402_1005Metric,30.4715,-84.179,-90.0,top
C207,22n,C_0402_1005Metric,24.4615,-72.719,90.0,top
C208,100n,C_0402_1005Metric,37.25,-89.58,180.0,top
C300,100n,C_0402_1005Metric,76.7315,-25.7125,180.0,top
C301,100n,C_0402_1005Metric,77.4615,-31.8425,-90.0,top
C302,100n,C_0402_1005Metric,55.568,-25.6125,180.0,top
C303,100n,C_0402_1005Metric,56.2115,-31.27,-90.0,top
C304,10n,C_0402_1005Metric,76.7315,-24.6125,0.0,top
C305,10n,C_0402_1005Metric,55.4815,-24.5,0.0,top
